g,k,winning_config
0.36500000000000005,0.5,11
0.36500000000000005,0.5,11
0.36500000000000005,0.5,11
0.37000000000000005,0.5,0
0.37000000000000005,0.5,1
0.37000000000000005,0.5,1
0.37000000000000005,0.5,1
0.37000000000000005,0.5,4
0.37000000000000005,0.5,4
0.37000000000000005,0.5,4
0.37000000000000005,0.5,4
0.37000000000000005,0.5,4
0.37000000000000005,0.5,4
0.37000000000000005,0.5,4
0.37000000000000005,0.5,11
0.37000000000000005,0.5,11
0.37000000000000005,0.5,11
0.37500000000000006,0.5,0
0.37500000000000006,0.5,1
0.37500000000000006,0.5,1
0.37500000000000006,0.5,1
0.37500000000000006,0.5,4
0.37500000000000006,0.5,4
0.37500000000000006,0.5,4
0.37500000000000006,0.5,4
0.37500000000000006,0.5,4
0.37500000000000006,0.5,4
0.37500000000000006,0.5,4
0.37500000000000006,0.5,11
0.37500000000000006,0.5,11
0.37500000000000006,0.5,11
0.38000000000000006,0.5,0
0.38000000000000006,0.5,1
0.38000000000000006,0.5,1
0.38000000000000006,0.5,1
0.38000000000000006,0.5,4
0.38000000000000006,0.5,4
0.38000000000000006,0.5,4
0.38000000000000006,0.5,4
0.38000000000000006,0.5,4
0.38000000000000006,0.5,4
0.38000000000000006,0.5,4
0.38000000000000006,0.5,11
0.38000000000000006,0.5,11
0.38000000000000006,0.5,11
0.38500000000000006,0.5,0
0.38500000000000006,0.5,1
0.38500000000000006,0.5,1
0.38500000000000006,0.5,1
0.38500000000000006,0.5,4
0.38500000000000006,0.5,4
0.38500000000000006,0.5,4
0.38500000000000006,0.5,4
0.38500000000000006,0.5,4
0.38500000000000006,0.5,4
0.38500000000000006,0.5,4
0.38500000000000006,0.5,11
0.38500000000000006,0.5,11
0.38500000000000006,0.5,11
0.39000000000000007,0.5,0
0.39000000000000007,0.5,1
0.39000000000000007,0.5,1
0.39000000000000007,0.5,1
0.39000000000000007,0.5,4
0.39000000000000007,0.5,4
0.39000000000000007,0.5,4
0.39000000000000007,0.5,4
0.39000000000000007,0.5,4
0.39000000000000007,0.5,4
0.39000000000000007,0.5,4
0.39000000000000007,0.5,11
0.39000000000000007,0.5,11
0.39000000000000007,0.5,11
0.3950000000000001,0.5,0
0.3950000000000001,0.5,1
0.3950000000000001,0.5,1
0.3950000000000001,0.5,1
0.3950000000000001,0.5,4
0.3950000000000001,0.5,4
0.3950000000000001,0.5,4
0.3950000000000001,0.5,4
0.3950000000000001,0.5,4
